Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0,0000000000e+000	 	 
X-Axis delta:	 1,2500000000e-001	 	 
	 	 	 
AmplitudeUnit:	(m/s)/V	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 4,0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 8,0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	PZT_Force Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	V	 	 
	 	 	 
	 	 	 
Signal:	Laser_500	 	 
	 	 	 
SignalUnit:	m/s	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response (1Scalar,1Scalar)	 	 
Title1:	STS : Input : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	18.10.2016	 
Time:	 	11:32:44:416	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 0,0000000000e+000	 2,42585e-004	-0,00000e+000
2	 1,2500000000e-001	 1,46584e-004	 6,72928e-005
3	 2,5000000000e-001	-3,84706e-005	 3,06744e-004
4	 3,7500000000e-001	 1,06675e-005	 8,82803e-004
5	 5,0000000000e-001	 9,57050e-004	 1,73515e-003
6	 6,2500000000e-001	 2,28632e-003	 2,39092e-003
7	 7,5000000000e-001	 3,95785e-003	 2,70584e-003
8	 8,7500000000e-001	 5,93605e-003	 2,51949e-003
9	 1,0000000000e+000	 8,66154e-003	 1,81710e-003
10	 1,1250000000e+000	 1,11263e-002	 4,12531e-004
11	 1,2500000000e+000	 1,29050e-002	-9,60630e-004
12	 1,3750000000e+000	 1,53555e-002	-3,20296e-003
13	 1,5000000000e+000	 1,71182e-002	-5,45947e-003
14	 1,6250000000e+000	 1,87871e-002	-7,86631e-003
15	 1,7500000000e+000	 2,01281e-002	-1,08748e-002
16	 1,8750000000e+000	 2,13521e-002	-1,40720e-002
17	 2,0000000000e+000	 2,26886e-002	-1,71496e-002
18	 2,1250000000e+000	 2,34488e-002	-1,95589e-002
19	 2,2500000000e+000	 2,37623e-002	-2,23877e-002
20	 2,3750000000e+000	 2,43196e-002	-2,61953e-002
21	 2,5000000000e+000	 2,42000e-002	-2,94476e-002
22	 2,6250000000e+000	 2,46450e-002	-3,21482e-002
23	 2,7500000000e+000	 2,45318e-002	-3,54527e-002
24	 2,8750000000e+000	 2,43885e-002	-3,87263e-002
25	 3,0000000000e+000	 2,35936e-002	-4,17848e-002
26	 3,1250000000e+000	 2,33321e-002	-4,48426e-002
27	 3,2500000000e+000	 2,24914e-002	-4,78833e-002
28	 3,3750000000e+000	 2,17958e-002	-5,11986e-002
29	 3,5000000000e+000	 2,09154e-002	-5,38880e-002
30	 3,6250000000e+000	 2,04018e-002	-5,67242e-002
31	 3,7500000000e+000	 1,96417e-002	-5,92967e-002
32	 3,8750000000e+000	 1,86984e-002	-6,22399e-002
33	 4,0000000000e+000	 1,72626e-002	-6,58604e-002
34	 4,1250000000e+000	 1,60851e-002	-6,82203e-002
35	 4,2500000000e+000	 1,49951e-002	-7,05464e-002
36	 4,3750000000e+000	 1,32996e-002	-7,37477e-002
37	 4,5000000000e+000	 1,18438e-002	-7,62488e-002
38	 4,6250000000e+000	 1,07219e-002	-7,92522e-002
39	 4,7500000000e+000	 9,39921e-003	-8,20000e-002
40	 4,8750000000e+000	 7,84444e-003	-8,40613e-002
41	 5,0000000000e+000	 6,50470e-003	-8,71062e-002
42	 5,1250000000e+000	 4,57064e-003	-9,01416e-002
43	 5,2500000000e+000	 3,03986e-003	-9,29125e-002
44	 5,3750000000e+000	 1,73166e-003	-9,47902e-002
45	 5,5000000000e+000	-3,41361e-004	-9,78211e-002
46	 5,6250000000e+000	-2,30679e-003	-9,99592e-002
47	 5,7500000000e+000	-4,05646e-003	-1,02513e-001
48	 5,8750000000e+000	-6,36458e-003	-1,05701e-001
49	 6,0000000000e+000	-7,18888e-003	-1,07811e-001
50	 6,1250000000e+000	-9,19260e-003	-1,10684e-001
51	 6,2500000000e+000	-1,21118e-002	-1,13624e-001
52	 6,3750000000e+000	-1,39949e-002	-1,15888e-001
53	 6,5000000000e+000	-1,65400e-002	-1,19051e-001
54	 6,6250000000e+000	-1,81503e-002	-1,21133e-001
55	 6,7500000000e+000	-1,97979e-002	-1,23168e-001
56	 6,8750000000e+000	-2,19608e-002	-1,26055e-001
57	 7,0000000000e+000	-2,44600e-002	-1,28786e-001
58	 7,1250000000e+000	-2,69122e-002	-1,31526e-001
59	 7,2500000000e+000	-2,94354e-002	-1,34440e-001
60	 7,3750000000e+000	-3,20072e-002	-1,36771e-001
61	 7,5000000000e+000	-3,42130e-002	-1,38893e-001
62	 7,6250000000e+000	-3,65061e-002	-1,41297e-001
63	 7,7500000000e+000	-4,09840e-002	-1,45393e-001
64	 7,8750000000e+000	-4,24191e-002	-1,47238e-001
65	 8,0000000000e+000	-4,55719e-002	-1,49973e-001
66	 8,1250000000e+000	-4,82822e-002	-1,53248e-001
67	 8,2500000000e+000	-5,12774e-002	-1,56433e-001
68	 8,3750000000e+000	-5,40178e-002	-1,59144e-001
69	 8,5000000000e+000	-5,75147e-002	-1,61907e-001
70	 8,6250000000e+000	-5,92194e-002	-1,64269e-001
71	 8,7500000000e+000	-6,23178e-002	-1,69006e-001
72	 8,8750000000e+000	-6,59427e-002	-1,71760e-001
73	 9,0000000000e+000	-6,93635e-002	-1,74269e-001
74	 9,1250000000e+000	-7,39738e-002	-1,78050e-001
75	 9,2500000000e+000	-7,71102e-002	-1,81692e-001
76	 9,3750000000e+000	-8,10224e-002	-1,84157e-001
77	 9,5000000000e+000	-8,56856e-002	-1,87442e-001
78	 9,6250000000e+000	-8,98939e-002	-1,91956e-001
79	 9,7500000000e+000	-9,40978e-002	-1,96141e-001
80	 9,8750000000e+000	-9,78366e-002	-1,99604e-001
81	 1,0000000000e+001	-1,03143e-001	-2,03658e-001
82	 1,0125000000e+001	-1,07505e-001	-2,07654e-001
83	 1,0250000000e+001	-1,12183e-001	-2,10575e-001
84	 1,0375000000e+001	-1,17684e-001	-2,17425e-001
85	 1,0500000000e+001	-1,24164e-001	-2,23135e-001
86	 1,0625000000e+001	-1,28902e-001	-2,27334e-001
87	 1,0750000000e+001	-1,37852e-001	-2,35007e-001
88	 1,0875000000e+001	-1,54632e-001	-2,43775e-001
89	 1,1000000000e+001	-1,77219e-001	-2,48946e-001
90	 1,1125000000e+001	-1,95769e-001	-2,29250e-001
91	 1,1250000000e+001	-1,53249e-001	-2,11408e-001
92	 1,1375000000e+001	-1,53448e-001	-2,23831e-001
93	 1,1500000000e+001	-1,60552e-001	-2,38906e-001
94	 1,1625000000e+001	-1,67428e-001	-2,48400e-001
95	 1,1750000000e+001	-1,75536e-001	-2,58098e-001
96	 1,1875000000e+001	-1,85932e-001	-2,67283e-001
97	 1,2000000000e+001	-2,03059e-001	-2,77618e-001
98	 1,2125000000e+001	-2,11025e-001	-2,71204e-001
99	 1,2250000000e+001	-2,06537e-001	-2,74273e-001
100	 1,2375000000e+001	-2,20042e-001	-2,93464e-001
101	 1,2500000000e+001	-2,28063e-001	-2,99962e-001
102	 1,2625000000e+001	-2,39173e-001	-3,07313e-001
103	 1,2750000000e+001	-2,49692e-001	-3,18130e-001
104	 1,2875000000e+001	-2,71605e-001	-3,33842e-001
105	 1,3000000000e+001	-2,86280e-001	-3,41582e-001
106	 1,3125000000e+001	-2,99906e-001	-3,44279e-001
107	 1,3250000000e+001	-3,07814e-001	-3,52493e-001
108	 1,3375000000e+001	-3,23626e-001	-3,74543e-001
109	 1,3500000000e+001	-3,43612e-001	-3,85891e-001
110	 1,3625000000e+001	-3,61349e-001	-4,00081e-001
111	 1,3750000000e+001	-3,84286e-001	-4,19109e-001
112	 1,3875000000e+001	-4,10546e-001	-4,34240e-001
113	 1,4000000000e+001	-4,31261e-001	-4,49744e-001
114	 1,4125000000e+001	-4,60165e-001	-4,71564e-001
115	 1,4250000000e+001	-4,97545e-001	-4,96547e-001
116	 1,4375000000e+001	-5,35489e-001	-5,21667e-001
117	 1,4500000000e+001	-5,78453e-001	-5,54783e-001
118	 1,4625000000e+001	-6,20725e-001	-5,79261e-001
119	 1,4750000000e+001	-6,84479e-001	-6,10618e-001
120	 1,4875000000e+001	-7,42150e-001	-6,40756e-001
121	 1,5000000000e+001	-8,07025e-001	-6,89502e-001
122	 1,5125000000e+001	-9,25205e-001	-7,52647e-001
123	 1,5250000000e+001	-1,02966e+000	-7,96733e-001
124	 1,5375000000e+001	-1,22229e+000	-8,81843e-001
125	 1,5500000000e+001	-1,33117e+000	-9,24352e-001
126	 1,5625000000e+001	-1,64339e+000	-9,97482e-001
127	 1,5750000000e+001	-1,91481e+000	-1,08346e+000
128	 1,5875000000e+001	-2,57082e+000	-1,14551e+000
