Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0,0000000000e+000	 	 
X-Axis delta:	 6,2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	(m/s)/V	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 2,0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1,6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	PZT_Force Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	V	 	 
	 	 	 
	 	 	 
Signal:	Laser_500	 	 
	 	 	 
SignalUnit:	m/s	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response (2Y+,2Y+)	 	 
Title1:	STS : Input : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	15.11.2016	 
Time:	 	12:18:50:921	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 0,0000000000e+000	-1,01598e-006	-0,00000e+000
2	 6,2500000000e-002	-3,49162e-006	-5,76438e-006
3	 1,2500000000e-001	-1,69978e-005	-7,83370e-006
4	 1,8750000000e-001	-4,13846e-005	-1,51579e-006
5	 2,5000000000e-001	-6,42644e-005	 1,32965e-005
6	 3,1250000000e-001	-8,44480e-005	 4,29096e-005
7	 3,7500000000e-001	-1,02596e-004	 6,07222e-005
8	 4,3750000000e-001	-1,25080e-004	 8,48668e-005
9	 5,0000000000e-001	-1,38650e-004	 1,03174e-004
10	 5,6250000000e-001	-1,56306e-004	 1,43039e-004
11	 6,2500000000e-001	-1,68477e-004	 1,86773e-004
12	 6,8750000000e-001	-1,77442e-004	 2,17934e-004
13	 7,5000000000e-001	-1,95177e-004	 2,53406e-004
14	 8,1250000000e-001	-1,99084e-004	 2,73954e-004
15	 8,7500000000e-001	-1,92104e-004	 3,27039e-004
16	 9,3750000000e-001	-1,88283e-004	 3,58291e-004
17	 1,0000000000e+000	-1,93037e-004	 3,90974e-004
18	 1,0625000000e+000	-2,04327e-004	 4,28761e-004
19	 1,1250000000e+000	-2,14716e-004	 4,67789e-004
20	 1,1875000000e+000	-1,96857e-004	 4,95398e-004
21	 1,2500000000e+000	-1,97687e-004	 5,12727e-004
22	 1,3125000000e+000	-2,04534e-004	 5,43713e-004
23	 1,3750000000e+000	-1,95146e-004	 5,52683e-004
24	 1,4375000000e+000	-1,92468e-004	 5,67088e-004
25	 1,5000000000e+000	-1,93366e-004	 6,21017e-004
26	 1,5625000000e+000	-1,87764e-004	 6,99866e-004
27	 1,6250000000e+000	-1,74907e-004	 7,25369e-004
28	 1,6875000000e+000	-1,61675e-004	 7,44491e-004
29	 1,7500000000e+000	-1,73828e-004	 7,67655e-004
30	 1,8125000000e+000	-1,90005e-004	 7,85847e-004
31	 1,8750000000e+000	-1,80345e-004	 8,26360e-004
32	 1,9375000000e+000	-1,86019e-004	 8,65735e-004
33	 2,0000000000e+000	-1,90192e-004	 9,10875e-004
34	 2,0625000000e+000	-1,81815e-004	 9,58803e-004
35	 2,1250000000e+000	-1,90140e-004	 9,97201e-004
36	 2,1875000000e+000	-1,50481e-004	 1,01382e-003
37	 2,2500000000e+000	-1,51680e-004	 1,02422e-003
38	 2,3125000000e+000	-1,49345e-004	 1,05599e-003
39	 2,3750000000e+000	-1,47365e-004	 1,09081e-003
40	 2,4375000000e+000	-1,89793e-004	 1,11154e-003
41	 2,5000000000e+000	-1,87015e-004	 1,13372e-003
42	 2,5625000000e+000	-1,74854e-004	 1,17494e-003
43	 2,6250000000e+000	-1,62721e-004	 1,19605e-003
44	 2,6875000000e+000	-1,07036e-004	 1,23700e-003
45	 2,7500000000e+000	-9,61005e-005	 1,27831e-003
46	 2,8125000000e+000	-9,59481e-005	 1,30156e-003
47	 2,8750000000e+000	-1,15223e-004	 1,31787e-003
48	 2,9375000000e+000	-1,39098e-004	 1,37850e-003
49	 3,0000000000e+000	-1,42567e-004	 1,41305e-003
50	 3,0625000000e+000	-1,11070e-004	 1,42544e-003
51	 3,1250000000e+000	-1,15458e-004	 1,45959e-003
52	 3,1875000000e+000	-1,36856e-004	 1,51203e-003
53	 3,2500000000e+000	-1,20956e-004	 1,52445e-003
54	 3,3125000000e+000	-1,26632e-004	 1,52491e-003
55	 3,3750000000e+000	-1,19415e-004	 1,58911e-003
56	 3,4375000000e+000	-1,23566e-004	 1,63211e-003
57	 3,5000000000e+000	-1,20888e-004	 1,65482e-003
58	 3,5625000000e+000	-1,20267e-004	 1,67040e-003
59	 3,6250000000e+000	-1,28630e-004	 1,69428e-003
60	 3,6875000000e+000	-1,06193e-004	 1,74858e-003
61	 3,7500000000e+000	-1,02956e-004	 1,82174e-003
62	 3,8125000000e+000	-1,06163e-004	 1,81275e-003
63	 3,8750000000e+000	-8,73456e-005	 1,86928e-003
64	 3,9375000000e+000	-8,72398e-005	 1,84811e-003
65	 4,0000000000e+000	-4,36610e-005	 1,88282e-003
66	 4,0625000000e+000	-2,57286e-005	 1,93484e-003
67	 4,1250000000e+000	-5,43793e-005	 1,97781e-003
68	 4,1875000000e+000	-6,25506e-005	 2,02546e-003
69	 4,2500000000e+000	-4,09259e-005	 2,00615e-003
70	 4,3125000000e+000	-4,33133e-005	 2,03639e-003
71	 4,3750000000e+000	-4,06833e-005	 2,07660e-003
72	 4,4375000000e+000	-3,61389e-005	 2,11940e-003
73	 4,5000000000e+000	-1,99337e-005	 2,16480e-003
74	 4,5625000000e+000	-4,17906e-005	 2,22349e-003
75	 4,6250000000e+000	-4,34685e-005	 2,25725e-003
76	 4,6875000000e+000	-5,12817e-005	 2,24785e-003
77	 4,7500000000e+000	-5,76692e-005	 2,31307e-003
78	 4,8125000000e+000	-3,03982e-006	 2,37798e-003
79	 4,8750000000e+000	 7,28873e-006	 2,37120e-003
80	 4,9375000000e+000	 3,22907e-005	 2,37973e-003
81	 5,0000000000e+000	 3,54843e-005	 2,39856e-003
82	 5,0625000000e+000	-6,31057e-005	 2,48882e-003
83	 5,1250000000e+000	-4,66073e-005	 2,55826e-003
84	 5,1875000000e+000	-1,38900e-005	 2,64101e-003
85	 5,2500000000e+000	-3,42198e-005	 2,64913e-003
86	 5,3125000000e+000	-1,04318e-005	 2,67664e-003
87	 5,3750000000e+000	 3,45010e-005	 2,71544e-003
88	 5,4375000000e+000	 6,19071e-005	 2,77351e-003
89	 5,5000000000e+000	 3,91874e-005	 2,78649e-003
90	 5,5625000000e+000	 6,81166e-005	 2,81239e-003
91	 5,6250000000e+000	 8,52853e-005	 2,90784e-003
92	 5,6875000000e+000	 4,16877e-005	 2,93125e-003
93	 5,7500000000e+000	 3,69065e-005	 2,93459e-003
94	 5,8125000000e+000	 7,45015e-005	 2,97223e-003
95	 5,8750000000e+000	 6,24286e-005	 2,99472e-003
96	 5,9375000000e+000	 8,43999e-005	 3,05497e-003
97	 6,0000000000e+000	 1,40587e-004	 3,10556e-003
98	 6,0625000000e+000	 1,61476e-004	 3,08778e-003
99	 6,1250000000e+000	 9,27546e-005	 3,11027e-003
100	 6,1875000000e+000	 4,99644e-005	 3,19944e-003
101	 6,2500000000e+000	 1,32272e-004	 3,24103e-003
102	 6,3125000000e+000	 9,17210e-005	 3,25855e-003
103	 6,3750000000e+000	 6,23538e-005	 3,25569e-003
104	 6,4375000000e+000	 8,81546e-005	 3,35858e-003
105	 6,5000000000e+000	 1,17002e-004	 3,43394e-003
106	 6,5625000000e+000	 1,11948e-004	 3,47319e-003
107	 6,6250000000e+000	 1,09064e-004	 3,56729e-003
108	 6,6875000000e+000	 1,73249e-004	 3,63490e-003
109	 6,7500000000e+000	 2,03763e-004	 3,58378e-003
110	 6,8125000000e+000	 1,64467e-004	 3,54619e-003
111	 6,8750000000e+000	 8,13111e-005	 3,67259e-003
112	 6,9375000000e+000	 1,26318e-004	 3,79375e-003
113	 7,0000000000e+000	 1,65847e-004	 3,82200e-003
114	 7,0625000000e+000	 1,79685e-004	 3,88260e-003
115	 7,1250000000e+000	 1,39256e-004	 3,96383e-003
116	 7,1875000000e+000	 1,08440e-004	 3,92308e-003
117	 7,2500000000e+000	 1,03254e-004	 3,94556e-003
118	 7,3125000000e+000	 1,83071e-004	 4,02711e-003
119	 7,3750000000e+000	 3,70585e-004	 4,11091e-003
120	 7,4375000000e+000	 3,23199e-004	 4,15972e-003
121	 7,5000000000e+000	 2,35770e-004	 4,19544e-003
122	 7,5625000000e+000	 2,38113e-004	 4,26736e-003
123	 7,6250000000e+000	 3,53563e-004	 4,35391e-003
124	 7,6875000000e+000	 3,32035e-004	 4,35612e-003
125	 7,7500000000e+000	 3,40473e-004	 4,43275e-003
126	 7,8125000000e+000	 3,21052e-004	 4,47082e-003
127	 7,8750000000e+000	 2,89420e-004	 4,49076e-003
128	 7,9375000000e+000	 2,50556e-004	 4,49208e-003
