Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0,0000000000e+000	 	 
X-Axis delta:	 6,2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	(m/s)/V	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 2,0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1,6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	PZT_Force Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	V	 	 
	 	 	 
	 	 	 
Signal:	Laser_500	 	 
	 	 	 
SignalUnit:	m/s	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response (2Y+,2Y+)	 	 
Title1:	STS : Input : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	15.11.2016	 
Time:	 	12:05:05:921	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 0,0000000000e+000	 1,54939e-006	-0,00000e+000
2	 6,2500000000e-002	-3,67225e-007	-6,58121e-006
3	 1,2500000000e-001	-1,03377e-005	 5,49249e-006
4	 1,8750000000e-001	-2,43732e-005	 2,60644e-005
5	 2,5000000000e-001	-7,71594e-006	 7,61922e-005
6	 3,1250000000e-001	 4,63970e-005	 1,42119e-004
7	 3,7500000000e-001	 1,17879e-004	 1,86334e-004
8	 4,3750000000e-001	 2,35206e-004	 2,20094e-004
9	 5,0000000000e-001	 3,64934e-004	 2,18761e-004
10	 5,6250000000e-001	 5,24574e-004	 1,76155e-004
11	 6,2500000000e-001	 6,64004e-004	 1,07883e-004
12	 6,8750000000e-001	 7,70553e-004	 3,40951e-005
13	 7,5000000000e-001	 9,06476e-004	-8,68171e-005
14	 8,1250000000e-001	 1,00893e-003	-2,10792e-004
15	 8,7500000000e-001	 1,10508e-003	-3,49125e-004
16	 9,3750000000e-001	 1,17401e-003	-4,77336e-004
17	 1,0000000000e+000	 1,25104e-003	-6,44281e-004
18	 1,0625000000e+000	 1,30508e-003	-7,80582e-004
19	 1,1250000000e+000	 1,34950e-003	-9,19655e-004
20	 1,1875000000e+000	 1,37879e-003	-1,08256e-003
21	 1,2500000000e+000	 1,40054e-003	-1,22169e-003
22	 1,3125000000e+000	 1,43463e-003	-1,38082e-003
23	 1,3750000000e+000	 1,45211e-003	-1,52671e-003
24	 1,4375000000e+000	 1,45951e-003	-1,69313e-003
25	 1,5000000000e+000	 1,45971e-003	-1,82748e-003
26	 1,5625000000e+000	 1,46338e-003	-1,97590e-003
27	 1,6250000000e+000	 1,45654e-003	-2,11336e-003
28	 1,6875000000e+000	 1,44776e-003	-2,26627e-003
29	 1,7500000000e+000	 1,43487e-003	-2,39645e-003
30	 1,8125000000e+000	 1,41876e-003	-2,54129e-003
31	 1,8750000000e+000	 1,39159e-003	-2,69043e-003
32	 1,9375000000e+000	 1,37762e-003	-2,80027e-003
33	 2,0000000000e+000	 1,34217e-003	-2,95694e-003
34	 2,0625000000e+000	 1,32066e-003	-3,09431e-003
35	 2,1250000000e+000	 1,29394e-003	-3,19834e-003
36	 2,1875000000e+000	 1,25434e-003	-3,35542e-003
37	 2,2500000000e+000	 1,22531e-003	-3,47011e-003
38	 2,3125000000e+000	 1,18892e-003	-3,58100e-003
39	 2,3750000000e+000	 1,14753e-003	-3,71782e-003
40	 2,4375000000e+000	 1,11644e-003	-3,84859e-003
41	 2,5000000000e+000	 1,07379e-003	-3,96126e-003
42	 2,5625000000e+000	 1,01494e-003	-4,09429e-003
43	 2,6250000000e+000	 9,82892e-004	-4,20433e-003
44	 2,6875000000e+000	 9,55306e-004	-4,31600e-003
45	 2,7500000000e+000	 8,94663e-004	-4,47292e-003
46	 2,8125000000e+000	 8,37478e-004	-4,59029e-003
47	 2,8750000000e+000	 7,87915e-004	-4,70476e-003
48	 2,9375000000e+000	 7,42405e-004	-4,83824e-003
49	 3,0000000000e+000	 6,92571e-004	-4,93495e-003
50	 3,0625000000e+000	 6,41579e-004	-5,03440e-003
51	 3,1250000000e+000	 5,79981e-004	-5,15809e-003
52	 3,1875000000e+000	 5,27779e-004	-5,28982e-003
53	 3,2500000000e+000	 4,66822e-004	-5,40098e-003
54	 3,3125000000e+000	 4,20663e-004	-5,50227e-003
55	 3,3750000000e+000	 3,61817e-004	-5,61286e-003
56	 3,4375000000e+000	 2,96732e-004	-5,73327e-003
57	 3,5000000000e+000	 2,29498e-004	-5,84459e-003
58	 3,5625000000e+000	 1,76681e-004	-5,94750e-003
59	 3,6250000000e+000	 1,31864e-004	-6,06147e-003
60	 3,6875000000e+000	 5,24421e-005	-6,17066e-003
61	 3,7500000000e+000	-1,33300e-005	-6,25218e-003
62	 3,8125000000e+000	-5,99738e-005	-6,35691e-003
63	 3,8750000000e+000	-1,51764e-004	-6,50809e-003
64	 3,9375000000e+000	-2,16608e-004	-6,61060e-003
65	 4,0000000000e+000	-2,77831e-004	-6,70333e-003
66	 4,0625000000e+000	-3,40966e-004	-6,79836e-003
67	 4,1250000000e+000	-4,15928e-004	-6,90583e-003
68	 4,1875000000e+000	-4,80078e-004	-7,01625e-003
69	 4,2500000000e+000	-5,58083e-004	-7,13660e-003
70	 4,3125000000e+000	-5,97930e-004	-7,22810e-003
71	 4,3750000000e+000	-6,68102e-004	-7,32205e-003
72	 4,4375000000e+000	-7,68912e-004	-7,44527e-003
73	 4,5000000000e+000	-8,36001e-004	-7,55163e-003
74	 4,5625000000e+000	-9,21177e-004	-7,66416e-003
75	 4,6250000000e+000	-1,00281e-003	-7,74453e-003
76	 4,6875000000e+000	-1,09850e-003	-7,87608e-003
77	 4,7500000000e+000	-1,15831e-003	-7,96465e-003
78	 4,8125000000e+000	-1,23986e-003	-8,08262e-003
79	 4,8750000000e+000	-1,31289e-003	-8,15307e-003
80	 4,9375000000e+000	-1,38689e-003	-8,23564e-003
81	 5,0000000000e+000	-1,46146e-003	-8,34916e-003
82	 5,0625000000e+000	-1,56296e-003	-8,46722e-003
83	 5,1250000000e+000	-1,64525e-003	-8,56207e-003
84	 5,1875000000e+000	-1,71642e-003	-8,66857e-003
85	 5,2500000000e+000	-1,81925e-003	-8,76122e-003
86	 5,3125000000e+000	-1,89291e-003	-8,85309e-003
87	 5,3750000000e+000	-2,01068e-003	-8,95139e-003
88	 5,4375000000e+000	-2,07908e-003	-9,08177e-003
89	 5,5000000000e+000	-2,16100e-003	-9,17164e-003
90	 5,5625000000e+000	-2,25341e-003	-9,26812e-003
91	 5,6250000000e+000	-2,34946e-003	-9,36933e-003
92	 5,6875000000e+000	-2,43048e-003	-9,45380e-003
93	 5,7500000000e+000	-2,51597e-003	-9,55613e-003
94	 5,8125000000e+000	-2,61264e-003	-9,63384e-003
95	 5,8750000000e+000	-2,70505e-003	-9,72610e-003
96	 5,9375000000e+000	-2,81143e-003	-9,85696e-003
97	 6,0000000000e+000	-2,89992e-003	-9,98274e-003
98	 6,0625000000e+000	-3,00184e-003	-1,00649e-002
99	 6,1250000000e+000	-3,07525e-003	-1,01661e-002
100	 6,1875000000e+000	-3,19511e-003	-1,03027e-002
101	 6,2500000000e+000	-3,29920e-003	-1,03826e-002
102	 6,3125000000e+000	-3,41961e-003	-1,04749e-002
103	 6,3750000000e+000	-3,47685e-003	-1,05667e-002
104	 6,4375000000e+000	-3,57919e-003	-1,07181e-002
105	 6,5000000000e+000	-3,68469e-003	-1,07888e-002
106	 6,5625000000e+000	-3,80617e-003	-1,08478e-002
107	 6,6250000000e+000	-3,91694e-003	-1,09749e-002
108	 6,6875000000e+000	-4,05850e-003	-1,11011e-002
109	 6,7500000000e+000	-4,17975e-003	-1,11630e-002
110	 6,8125000000e+000	-4,26795e-003	-1,12724e-002
111	 6,8750000000e+000	-4,34552e-003	-1,13648e-002
112	 6,9375000000e+000	-4,45163e-003	-1,14819e-002
113	 7,0000000000e+000	-4,58718e-003	-1,15759e-002
114	 7,0625000000e+000	-4,71108e-003	-1,16927e-002
115	 7,1250000000e+000	-4,84589e-003	-1,18073e-002
116	 7,1875000000e+000	-4,93039e-003	-1,18862e-002
117	 7,2500000000e+000	-5,04223e-003	-1,20261e-002
118	 7,3125000000e+000	-5,16387e-003	-1,21258e-002
119	 7,3750000000e+000	-5,31738e-003	-1,22655e-002
120	 7,4375000000e+000	-5,45098e-003	-1,23620e-002
121	 7,5000000000e+000	-5,53845e-003	-1,24571e-002
122	 7,5625000000e+000	-5,68301e-003	-1,25971e-002
123	 7,6250000000e+000	-5,81177e-003	-1,27041e-002
124	 7,6875000000e+000	-5,96031e-003	-1,27766e-002
125	 7,7500000000e+000	-6,05505e-003	-1,28662e-002
126	 7,8125000000e+000	-6,19999e-003	-1,29804e-002
127	 7,8750000000e+000	-6,34188e-003	-1,30949e-002
128	 7,9375000000e+000	-6,51158e-003	-1,32365e-002
