Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0,0000000000e+000	 	 
X-Axis delta:	 6,2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	(m/s²)/N	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 2,0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1,6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	ForceTransducer Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	N	 	 
	 	 	 
	 	 	 
Signal:	4507 B 1-x	 	 
	 	 	 
SignalUnit:	m/s²	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(4507 B 1-x,ForceTransducer Ref.) - STS Measurement 1	 	 
Title1:	STS : STS Measurement 1 : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	STS Measurement 1	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	26.02.2016	 
Time:	 	09:48:14:834	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 0,0000000000e+000	-2,28036e+001	-0,00000e+000
2	 6,2500000000e-002	-6,68405e+000	-2,97448e+001
3	 1,2500000000e-001	 1,81726e+001	-8,66372e+000
4	 1,8750000000e-001	 1,75611e+001	 3,69981e+000
5	 2,5000000000e-001	-1,85807e+000	 6,53649e+000
6	 3,1250000000e-001	 3,31351e+000	 3,79034e+000
7	 3,7500000000e-001	-1,77716e+000	-9,11541e-001
8	 4,3750000000e-001	-2,50507e+000	-2,58276e+000
9	 5,0000000000e-001	-7,73118e-001	-1,11940e+000
10	 5,6250000000e-001	 9,44103e-001	 4,89074e-001
11	 6,2500000000e-001	 1,51235e+000	 4,07288e-001
12	 6,8750000000e-001	 5,30073e-001	-5,47417e-002
13	 7,5000000000e-001	 1,97989e-001	 2,91738e-001
14	 8,1250000000e-001	-4,35947e-002	 4,49706e-001
15	 8,7500000000e-001	 9,19000e-002	 8,13826e-002
16	 9,3750000000e-001	-4,61077e-002	-1,25411e-001
17	 1,0000000000e+000	 1,23785e-001	-9,04765e-002
18	 1,0625000000e+000	 5,70622e-002	-2,84592e-001
19	 1,1250000000e+000	 1,48852e-001	-1,38101e-001
20	 1,1875000000e+000	 4,20128e-002	 9,13708e-002
21	 1,2500000000e+000	 2,19176e-001	-6,19469e-002
22	 1,3125000000e+000	 2,62243e-001	-8,06333e-002
23	 1,3750000000e+000	 4,47671e-001	 2,75293e-002
24	 1,4375000000e+000	 2,74572e-001	-1,10117e-001
25	 1,5000000000e+000	 2,47416e-001	-1,36019e-001
26	 1,5625000000e+000	 3,35004e-001	-1,07080e-001
27	 1,6250000000e+000	 3,38838e-001	-2,68325e-001
28	 1,6875000000e+000	 3,74155e-001	-2,04894e-001
29	 1,7500000000e+000	 3,75608e-001	-2,09519e-001
30	 1,8125000000e+000	 4,01350e-001	-1,88370e-001
31	 1,8750000000e+000	 4,77054e-001	-1,46836e-001
32	 1,9375000000e+000	 4,67449e-001	-1,26103e-001
33	 2,0000000000e+000	 4,86279e-001	-2,35635e-001
34	 2,0625000000e+000	 5,38732e-001	-3,06682e-001
35	 2,1250000000e+000	 5,40636e-001	-2,93917e-001
36	 2,1875000000e+000	 5,84826e-001	-3,70202e-001
37	 2,2500000000e+000	 6,82584e-001	-2,38143e-001
38	 2,3125000000e+000	 6,46377e-001	-1,49986e-001
39	 2,3750000000e+000	 7,21994e-001	-1,86550e-001
40	 2,4375000000e+000	 7,09166e-001	-2,47030e-001
41	 2,5000000000e+000	 7,60071e-001	-2,52967e-001
42	 2,5625000000e+000	 7,77196e-001	-2,37179e-001
43	 2,6250000000e+000	 8,83502e-001	-2,95110e-001
44	 2,6875000000e+000	 8,97275e-001	-3,38261e-001
45	 2,7500000000e+000	 9,87689e-001	-3,40096e-001
46	 2,8125000000e+000	 1,03118e+000	-3,25196e-001
47	 2,8750000000e+000	 1,07952e+000	-3,18760e-001
48	 2,9375000000e+000	 1,14538e+000	-3,85991e-001
49	 3,0000000000e+000	 1,18225e+000	-3,74609e-001
50	 3,0625000000e+000	 1,21646e+000	-3,64382e-001
51	 3,1250000000e+000	 1,25435e+000	-4,49478e-001
52	 3,1875000000e+000	 1,35147e+000	-4,85525e-001
53	 3,2500000000e+000	 1,44044e+000	-4,58247e-001
54	 3,3125000000e+000	 1,46695e+000	-4,44283e-001
55	 3,3750000000e+000	 1,56095e+000	-4,74812e-001
56	 3,4375000000e+000	 1,62100e+000	-4,97074e-001
57	 3,5000000000e+000	 1,65813e+000	-4,59134e-001
58	 3,5625000000e+000	 1,75479e+000	-4,77517e-001
59	 3,6250000000e+000	 1,83884e+000	-4,74533e-001
60	 3,6875000000e+000	 1,93136e+000	-4,84066e-001
61	 3,7500000000e+000	 1,97294e+000	-4,72386e-001
62	 3,8125000000e+000	 2,01531e+000	-5,45309e-001
63	 3,8750000000e+000	 2,17045e+000	-5,71805e-001
64	 3,9375000000e+000	 2,22094e+000	-5,23807e-001
65	 4,0000000000e+000	 2,24752e+000	-5,21337e-001
66	 4,0625000000e+000	 2,37885e+000	-5,91133e-001
67	 4,1250000000e+000	 2,49501e+000	-6,20745e-001
68	 4,1875000000e+000	 2,55626e+000	-6,01016e-001
69	 4,2500000000e+000	 2,67217e+000	-6,12059e-001
70	 4,3125000000e+000	 2,71810e+000	-6,37666e-001
71	 4,3750000000e+000	 2,84662e+000	-5,74791e-001
72	 4,4375000000e+000	 2,93830e+000	-5,70077e-001
73	 4,5000000000e+000	 3,04409e+000	-6,87006e-001
74	 4,5625000000e+000	 3,20609e+000	-6,96368e-001
75	 4,6250000000e+000	 3,28663e+000	-6,68447e-001
76	 4,6875000000e+000	 3,34802e+000	-7,22851e-001
77	 4,7500000000e+000	 3,51381e+000	-8,16244e-001
78	 4,8125000000e+000	 3,61400e+000	-8,31526e-001
79	 4,8750000000e+000	 3,70234e+000	-8,18343e-001
80	 4,9375000000e+000	 3,80124e+000	-7,73189e-001
81	 5,0000000000e+000	 4,09095e+000	-7,50451e-001
82	 5,0625000000e+000	 4,18449e+000	-7,23570e-001
83	 5,1250000000e+000	 4,19515e+000	-8,47257e-001
84	 5,1875000000e+000	 4,32389e+000	-8,40285e-001
85	 5,2500000000e+000	 4,47452e+000	-8,85671e-001
86	 5,3125000000e+000	 4,62122e+000	-9,19806e-001
87	 5,3750000000e+000	 4,89917e+000	-9,85673e-001
88	 5,4375000000e+000	 5,00821e+000	-1,04790e+000
89	 5,5000000000e+000	 5,04670e+000	-1,04779e+000
90	 5,5625000000e+000	 5,18397e+000	-9,78748e-001
91	 5,6250000000e+000	 5,46677e+000	-1,16922e+000
92	 5,6875000000e+000	 5,56899e+000	-1,13030e+000
93	 5,7500000000e+000	 5,71822e+000	-1,10096e+000
94	 5,8125000000e+000	 5,92685e+000	-1,16604e+000
95	 5,8750000000e+000	 6,12624e+000	-1,19092e+000
96	 5,9375000000e+000	 6,29824e+000	-1,16220e+000
97	 6,0000000000e+000	 6,50099e+000	-1,22765e+000
98	 6,0625000000e+000	 6,68064e+000	-1,30970e+000
99	 6,1250000000e+000	 6,87927e+000	-1,28926e+000
100	 6,1875000000e+000	 7,15650e+000	-1,27304e+000
101	 6,2500000000e+000	 7,21641e+000	-1,39494e+000
102	 6,3125000000e+000	 7,37967e+000	-1,42723e+000
103	 6,3750000000e+000	 7,67358e+000	-1,37441e+000
104	 6,4375000000e+000	 8,06153e+000	-1,51918e+000
105	 6,5000000000e+000	 8,25780e+000	-1,58236e+000
106	 6,5625000000e+000	 8,51483e+000	-1,59147e+000
107	 6,6250000000e+000	 8,70929e+000	-1,62114e+000
108	 6,6875000000e+000	 8,97324e+000	-1,66291e+000
109	 6,7500000000e+000	 9,16810e+000	-1,67863e+000
110	 6,8125000000e+000	 9,48883e+000	-1,67214e+000
111	 6,8750000000e+000	 9,94280e+000	-1,87595e+000
112	 6,9375000000e+000	 1,02028e+001	-1,81189e+000
113	 7,0000000000e+000	 1,02587e+001	-1,88010e+000
114	 7,0625000000e+000	 1,06508e+001	-2,08502e+000
115	 7,1250000000e+000	 1,08846e+001	-2,04272e+000
116	 7,1875000000e+000	 1,10472e+001	-1,99608e+000
117	 7,2500000000e+000	 1,16226e+001	-1,86022e+000
118	 7,3125000000e+000	 1,19404e+001	-2,10821e+000
119	 7,3750000000e+000	 1,21679e+001	-2,26605e+000
120	 7,4375000000e+000	 1,24694e+001	-2,37148e+000
121	 7,5000000000e+000	 1,27967e+001	-2,52668e+000
122	 7,5625000000e+000	 1,34714e+001	-2,71907e+000
123	 7,6250000000e+000	 1,41816e+001	-2,51368e+000
124	 7,6875000000e+000	 1,45623e+001	-2,56738e+000
125	 7,7500000000e+000	 1,47322e+001	-2,57424e+000
126	 7,8125000000e+000	 1,53009e+001	-2,56556e+000
127	 7,8750000000e+000	 1,54718e+001	-2,77744e+000
