Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	51	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 6,6000000000e+001	 	 
X-Axis delta:	 2,0000000000e-001	 	 
	 	 	 
AmplitudeUnit:	(m/s²)/N	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 7,1000000000e+001	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 5,0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	ForceTransducer Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	N	 	 
	 	 	 
	 	 	 
Signal:	4507 B 1-x	 	 
	 	 	 
SignalUnit:	m/s²	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(4507 B 1-x,ForceTransducer Ref.) - STS Measurement 1	 	 
Title1:	STS : STS Measurement 1 : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	STS Measurement 1	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	01.03.2016	 
Time:	 	18:19:47:188	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 6,6000000000e+001	 2,05792e+001	-4,83041e+000
2	 6,6200000000e+001	 2,23633e+001	-5,39790e+000
3	 6,6400000000e+001	 2,38820e+001	-5,95703e+000
4	 6,6600000000e+001	 2,67143e+001	-7,00904e+000
5	 6,6800000000e+001	 2,82250e+001	-7,86672e+000
6	 6,7000000000e+001	 3,12032e+001	-9,06655e+000
7	 6,7200000000e+001	 3,18122e+001	-9,15937e+000
8	 6,7400000000e+001	 3,46637e+001	-1,13435e+001
9	 6,7600000000e+001	 3,64281e+001	-1,24278e+001
10	 6,7800000000e+001	 3,82004e+001	-1,24172e+001
11	 6,8000000000e+001	 4,17771e+001	-1,25921e+001
12	 6,8200000000e+001	 4,56499e+001	-1,17670e+001
13	 6,8400000000e+001	 5,41767e+001	-1,39995e+001
14	 6,8600000000e+001	 5,97826e+001	-1,60486e+001
15	 6,8800000000e+001	 6,76823e+001	-1,93883e+001
16	 6,9000000000e+001	 7,19934e+001	-2,16722e+001
17	 6,9200000000e+001	 8,44017e+001	-2,87322e+001
18	 6,9400000000e+001	 9,33848e+001	-3,36750e+001
19	 6,9600000000e+001	 1,09374e+002	-4,83454e+001
20	 6,9800000000e+001	 1,21311e+002	-5,77245e+001
21	 7,0000000000e+001	 1,41561e+002	-7,78128e+001
22	 7,0200000000e+001	 1,62490e+002	-1,06549e+002
23	 7,0400000000e+001	 1,83085e+002	-1,51430e+002
24	 7,0600000000e+001	 1,98042e+002	-2,29169e+002
25	 7,0800000000e+001	 1,51784e+002	-3,46375e+002
26	 7,1000000000e+001	 5,77459e+001	-3,93542e+002
27	 7,1200000000e+001	-1,27416e+002	-3,48792e+002
28	 7,1400000000e+001	-2,47391e+002	-2,49911e+002
29	 7,1600000000e+001	-2,56432e+002	-1,86220e+002
30	 7,1800000000e+001	-2,15535e+002	-1,10692e+002
31	 7,2000000000e+001	-2,00183e+002	-8,14564e+001
32	 7,2200000000e+001	-1,75058e+002	-5,06811e+001
33	 7,2400000000e+001	-1,61706e+002	-4,00678e+001
34	 7,2600000000e+001	-1,46225e+002	-3,34547e+001
35	 7,2800000000e+001	-1,34020e+002	-2,87882e+001
36	 7,3000000000e+001	-1,23065e+002	-2,24535e+001
37	 7,3200000000e+001	-1,16982e+002	-1,66929e+001
38	 7,3400000000e+001	-1,08053e+002	-1,30074e+001
39	 7,3600000000e+001	-9,94159e+001	-1,11254e+001
40	 7,3800000000e+001	-9,57423e+001	-9,56251e+000
41	 7,4000000000e+001	-9,11311e+001	-8,03031e+000
42	 7,4200000000e+001	-8,69686e+001	-6,48031e+000
43	 7,4400000000e+001	-8,13316e+001	-6,07868e+000
44	 7,4600000000e+001	-7,98140e+001	-5,66499e+000
45	 7,4800000000e+001	-7,60154e+001	-4,93415e+000
46	 7,5000000000e+001	-7,38043e+001	-4,51576e+000
47	 7,5200000000e+001	-7,16251e+001	-4,00006e+000
48	 7,5400000000e+001	-6,86562e+001	-3,45452e+000
49	 7,5600000000e+001	-6,70908e+001	-2,85374e+000
50	 7,5800000000e+001	-6,46627e+001	-2,56080e+000
51	 7,6000000000e+001	-6,30609e+001	-2,58920e+000
TagsBegin:	 	 	 
OverLoad:	 	False	 
AverageNumber: []	 	 8,00000e+000	 
OverLoadRatio: []	 	 1,19209e-007	 
TagsEnd:	 	 	 
TagScalesBegin:	 	 	 
TagScalesEnd:	 	 	 
