Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0,0000000000e+000	 	 
X-Axis delta:	 6,2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	(m/s²)/N	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 2,0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1,6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	ForceTransducer Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	N	 	 
	 	 	 
	 	 	 
Signal:	4507 B 1-x	 	 
	 	 	 
SignalUnit:	m/s²	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(4507 B 1-x,ForceTransducer Ref.) - STS Measurement 1	 	 
Title1:	STS : STS Measurement 1 : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	STS Measurement 1	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	02.03.2016	 
Time:	 	11:23:20:750	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 0,0000000000e+000	-1,82140e+003	-0,00000e+000
2	 6,2500000000e-002	-1,64275e+003	-2,96619e+002
3	 1,2500000000e-001	-3,46009e+001	-4,81800e+001
4	 1,8750000000e-001	 5,11310e+001	-2,84450e+001
5	 2,5000000000e-001	-1,38695e+001	-1,18508e+001
6	 3,1250000000e-001	-3,26401e+000	-1,74350e+000
7	 3,7500000000e-001	-2,74958e+000	 4,15701e+000
8	 4,3750000000e-001	-2,24072e+000	 2,00491e+000
9	 5,0000000000e-001	 3,90934e+000	 1,89191e+000
10	 5,6250000000e-001	 2,83446e+000	 1,42284e+000
11	 6,2500000000e-001	 1,40405e+000	 2,16340e+000
12	 6,8750000000e-001	 1,55041e+000	 1,57432e+000
13	 7,5000000000e-001	 1,22415e+000	 6,12588e-001
14	 8,1250000000e-001	 8,45115e-001	 2,28591e-001
15	 8,7500000000e-001	 3,47350e-002	 6,00406e-001
16	 9,3750000000e-001	 4,08012e-001	-2,09283e-002
17	 1,0000000000e+000	 6,37024e-001	-1,47468e-001
18	 1,0625000000e+000	 2,63679e-001	-4,55691e-002
19	 1,1250000000e+000	 1,38263e-001	-1,19868e-001
20	 1,1875000000e+000	 4,60668e-001	-5,69209e-002
21	 1,2500000000e+000	 9,26775e-001	-1,68490e-001
22	 1,3125000000e+000	 4,69594e-001	-8,28899e-002
23	 1,3750000000e+000	 4,23235e-001	-1,87378e-001
24	 1,4375000000e+000	 4,61683e-001	-4,56959e-001
25	 1,5000000000e+000	-2,61292e-002	-4,50490e-001
26	 1,5625000000e+000	 4,29727e-001	-2,43593e-001
27	 1,6250000000e+000	 6,22880e-001	-1,10296e-001
28	 1,6875000000e+000	 6,69260e-001	-1,85153e-001
29	 1,7500000000e+000	 7,25903e-001	-1,79365e-001
30	 1,8125000000e+000	 6,93320e-001	-2,10229e-001
31	 1,8750000000e+000	 6,15570e-001	-3,71098e-001
32	 1,9375000000e+000	 5,20755e-001	-4,73192e-001
33	 2,0000000000e+000	 7,94274e-001	-4,15476e-001
34	 2,0625000000e+000	 9,51816e-001	-5,36330e-001
35	 2,1250000000e+000	 1,09280e+000	-3,95519e-001
36	 2,1875000000e+000	 1,00932e+000	-4,87135e-001
37	 2,2500000000e+000	 1,01521e+000	-3,91286e-001
38	 2,3125000000e+000	 9,49614e-001	-3,57331e-001
39	 2,3750000000e+000	 1,11616e+000	-3,37421e-001
40	 2,4375000000e+000	 1,17718e+000	-3,80277e-001
41	 2,5000000000e+000	 1,13116e+000	-4,24414e-001
42	 2,5625000000e+000	 1,36666e+000	-2,88790e-001
43	 2,6250000000e+000	 1,38644e+000	-2,19593e-001
44	 2,6875000000e+000	 1,29278e+000	-3,26207e-001
45	 2,7500000000e+000	 1,52967e+000	-3,48507e-001
46	 2,8125000000e+000	 1,53820e+000	-4,02044e-001
47	 2,8750000000e+000	 1,82036e+000	-4,04545e-001
48	 2,9375000000e+000	 1,67865e+000	-3,68670e-001
49	 3,0000000000e+000	 1,73493e+000	-3,47985e-001
50	 3,0625000000e+000	 2,03882e+000	-4,52783e-001
51	 3,1250000000e+000	 2,12024e+000	-5,04480e-001
52	 3,1875000000e+000	 2,10303e+000	-5,01471e-001
53	 3,2500000000e+000	 2,17595e+000	-5,82407e-001
54	 3,3125000000e+000	 2,30782e+000	-5,26237e-001
55	 3,3750000000e+000	 2,34293e+000	-6,50754e-001
56	 3,4375000000e+000	 2,37249e+000	-6,19066e-001
57	 3,5000000000e+000	 2,50464e+000	-4,54925e-001
58	 3,5625000000e+000	 2,64895e+000	-4,18182e-001
59	 3,6250000000e+000	 2,65711e+000	-3,84051e-001
60	 3,6875000000e+000	 2,72425e+000	-5,25896e-001
61	 3,7500000000e+000	 2,85064e+000	-6,56012e-001
62	 3,8125000000e+000	 3,17476e+000	-5,23573e-001
63	 3,8750000000e+000	 3,35876e+000	-5,15390e-001
64	 3,9375000000e+000	 3,38346e+000	-6,95791e-001
65	 4,0000000000e+000	 3,53594e+000	-7,41281e-001
66	 4,0625000000e+000	 3,72436e+000	-7,00388e-001
67	 4,1250000000e+000	 3,78175e+000	-8,20788e-001
68	 4,1875000000e+000	 3,89596e+000	-9,19095e-001
69	 4,2500000000e+000	 3,97086e+000	-7,69842e-001
70	 4,3125000000e+000	 4,09077e+000	-6,39198e-001
71	 4,3750000000e+000	 4,20860e+000	-6,75467e-001
72	 4,4375000000e+000	 4,27722e+000	-7,40874e-001
73	 4,5000000000e+000	 4,53461e+000	-7,65918e-001
74	 4,5625000000e+000	 4,70839e+000	-7,97841e-001
75	 4,6250000000e+000	 4,75581e+000	-6,71736e-001
76	 4,6875000000e+000	 4,94846e+000	-6,77218e-001
77	 4,7500000000e+000	 5,23550e+000	-8,43981e-001
78	 4,8125000000e+000	 5,40348e+000	-8,87155e-001
79	 4,8750000000e+000	 5,61003e+000	-9,92563e-001
80	 4,9375000000e+000	 5,88972e+000	-1,12677e+000
81	 5,0000000000e+000	 6,05404e+000	-1,02036e+000
82	 5,0625000000e+000	 6,03361e+000	-1,07268e+000
83	 5,1250000000e+000	 6,22614e+000	-1,10393e+000
84	 5,1875000000e+000	 6,68780e+000	-1,06707e+000
85	 5,2500000000e+000	 6,89456e+000	-9,51917e-001
86	 5,3125000000e+000	 7,02577e+000	-9,73993e-001
87	 5,3750000000e+000	 7,26283e+000	-1,00822e+000
88	 5,4375000000e+000	 7,39132e+000	-8,10855e-001
89	 5,5000000000e+000	 7,68673e+000	-8,89145e-001
90	 5,5625000000e+000	 7,97712e+000	-1,11782e+000
91	 5,6250000000e+000	 8,52006e+000	-1,30572e+000
92	 5,6875000000e+000	 8,72334e+000	-1,39242e+000
93	 5,7500000000e+000	 9,13843e+000	-1,46362e+000
94	 5,8125000000e+000	 9,39996e+000	-1,54979e+000
95	 5,8750000000e+000	 9,74408e+000	-1,44895e+000
96	 5,9375000000e+000	 9,98699e+000	-1,30898e+000
97	 6,0000000000e+000	 1,04430e+001	-1,36411e+000
98	 6,0625000000e+000	 1,05389e+001	-1,48999e+000
99	 6,1250000000e+000	 1,07469e+001	-1,54961e+000
100	 6,1875000000e+000	 1,10627e+001	-1,60051e+000
101	 6,2500000000e+000	 1,13961e+001	-1,56629e+000
102	 6,3125000000e+000	 1,16013e+001	-1,73475e+000
103	 6,3750000000e+000	 1,18368e+001	-2,22836e+000
104	 6,4375000000e+000	 1,27861e+001	-2,12600e+000
105	 6,5000000000e+000	 1,33615e+001	-2,06296e+000
106	 6,5625000000e+000	 1,36526e+001	-1,81858e+000
107	 6,6250000000e+000	 1,38274e+001	-1,63004e+000
108	 6,6875000000e+000	 1,43550e+001	-1,79437e+000
109	 6,7500000000e+000	 1,51506e+001	-2,37390e+000
110	 6,8125000000e+000	 1,57689e+001	-2,30381e+000
111	 6,8750000000e+000	 1,60019e+001	-2,31848e+000
112	 6,9375000000e+000	 1,65904e+001	-2,01021e+000
113	 7,0000000000e+000	 1,72658e+001	-2,13175e+000
114	 7,0625000000e+000	 1,77361e+001	-2,43156e+000
115	 7,1250000000e+000	 1,87020e+001	-2,71356e+000
116	 7,1875000000e+000	 1,94591e+001	-2,73322e+000
117	 7,2500000000e+000	 1,98283e+001	-3,08565e+000
118	 7,3125000000e+000	 2,04888e+001	-3,11811e+000
119	 7,3750000000e+000	 2,15070e+001	-3,13036e+000
120	 7,4375000000e+000	 2,24605e+001	-3,21130e+000
121	 7,5000000000e+000	 2,37548e+001	-3,05889e+000
122	 7,5625000000e+000	 2,42987e+001	-2,98044e+000
123	 7,6250000000e+000	 2,48894e+001	-3,52528e+000
124	 7,6875000000e+000	 2,63033e+001	-3,26379e+000
125	 7,7500000000e+000	 2,63394e+001	-3,32105e+000
126	 7,8125000000e+000	 2,78468e+001	-4,03161e+000
127	 7,8750000000e+000	 2,89537e+001	-4,31321e+000
